"Type","Affiliation"
"university","University of Medicine Magway"
"company","The Sourcery"
"company","Grand Rounds"
"company","Swiftly"
"company","Tempo Automation"
"company","Oracle"
"company","Aktana"
"university","Odense University"
"company","Quantcast"
"university","Vietnam Maritime University"
"university","Academy of Management and Entrepreneurship"
"company","Clover Network"
"university","University of Baltimore"
"company","Layer"
"company","Stitch Labs"
"university","Technische Universität München"
"university","Islamic Azad University, Janah"
"company","Philo"
"company","Triplebyte"
"university","West Pomeranian Business School in Szczecin"
"university","Royal Danish School of Pharmacy"
"university","University of California, Riverside"
"company","Highland Capital Partners"
"university","Veterinärmedizinische Universität Wien"
"university","Ivanovo State Power University"
"company","Braintree"
"university","Ahi Evran University"
"university","The Superior College "
"university","Avicenna International College"
"company","Indiegogo"
"university","Universitas Negeri Surabaya"
"company","TrustArc"
"company","IBM"
"university","Fachhochschule Erfurt"
"company","Flipboard"
"university","Preston University, Pakistan Campus"
"university","The Juilliard School"
"company","Radical Designs"
"university","Huaihai Institute of Technology"
"company","Always Hired"
"company","Woebot Labs"
"university","Gustav-Siewerth-Akademie"
"company","Credit Karma"
"university","Ecole de l'Air"
"university","Awadhesh Pratap Singh University"
"university","Linguistic University of Nizhny Novgorod"
"company","RGA Associates"
"company","Clover Health"
"university","Firat (Euphrates) University"
"university","Shandong Medical University"
"university","Tokushima University"
"company","Jobspring Partners"
"company","Outreach"
"company","Allbirds"
"university","St. Petersburg State University of Technology and Design"
"company","Skillz"
"university","University of Debrecen "
"university","Tokyo Denki University"
"university","Okayama University of Science"
"university","College of St. Elizabeth"
"university","Universitat de Vic"
"company","Kentik"
"company","Kabam"
"university","City University Programs in Bulgaria "
"university","National Hsin-Chu Teachers College"
"company","Codexis"
"company","Bayside Solutions"
"university","University of the Faroe Islands"
"university","Sri Padmavati Women's University"
"company","99designs"
"company","AMD"
"company","General Assembly"
"university","Universidade para o Desenvolvimento do Alto Vale do Itajaí"
"company","Postmates"
"company","Betterworks"
"university","University of Engineering and Technology Lahore"
"university","Universidad Privada Los Andes"
"university","Université Senghor d'Alexandrie"
"university","Beijing Union University"
"company","Logikcull"
"company","Zero Financial"
"company","Dover"
"university","Windsor University School of Medicine"
"company","BloomThat"
"company","UserTesting"
"university","Fachhochschule Dortmund"
"university","Kosin University"
"university","Universidad Autónoma de Veracruz Villa Rica"
"university","Universidad Privada Abierta Latinoamericana"
"company","Rockbot"
"company","Gemini"
"university","Heritage College"
"company","Indeed"
"company","Intelliswift"
"company","Mozilla"
"university","Kagawa Medical School"
"company","Naytev"
"university","Kasetsart University"
"university","Stockholm School of Economics"
"university","Liaoning Technical University"
